date,place_category,change_from_baseline
2020-03-21,grocery_pharmacy_avg,-1.57
2020-03-21,parks_avg,-15.71
2020-03-21,transit_stations_avg,-21.57
2020-03-21,workplaces_avg,-11.29
2020-03-21,residential_avg,7.14
2020-03-22,retail_recreation,-32
2020-03-22,grocery_pharmacy,-15
2020-03-22,parks,-39
2020-03-22,transit_stations,-42
2020-03-22,workplaces,-7
2020-03-22,residential,10
2020-03-22,retail_recreation_avg,-16.71
2020-03-22,grocery_pharmacy_avg,-4.14
2020-03-22,parks_avg,-19.57
2020-03-22,transit_stations_avg,-25.86
2020-03-22,workplaces_avg,-12.86
2020-03-22,residential_avg,8.14
2020-03-23,retail_recreation,-27
2020-03-23,grocery_pharmacy,-12
2020-03-23,parks,-25
2020-03-23,transit_stations,-41
2020-03-23,workplaces,-27
2020-03-23,residential,13
2020-03-23,retail_recreation_avg,-19.57
2020-03-23,grocery_pharmacy_avg,-6.14
2020-03-23,parks_avg,-22
2020-03-23,transit_stations_avg,-30
2020-03-23,workplaces_avg,-15.57
2020-03-23,residential_avg,9.29
2020-03-24,retail_recreation,-29
2020-03-24,grocery_pharmacy,-11
2020-03-24,parks,-26
2020-03-24,transit_stations,-42
2020-03-24,workplaces,-31
2020-03-24,residential,13
2020-03-24,retail_recreation_avg,-22.43
2020-03-24,grocery_pharmacy_avg,-7.86
2020-03-24,parks_avg,-24.29
2020-03-24,transit_stations_avg,-33.71
2020-03-24,workplaces_avg,-18.14
2020-03-24,residential_avg,10.29
2020-03-25,retail_recreation,-38
2020-03-25,grocery_pharmacy,-20
2020-03-25,parks,-31
2020-03-25,transit_stations,-52
2020-03-25,workplaces,-59
2020-03-25,residential,21
2020-03-25,retail_recreation_avg,-26.29
2020-03-25,grocery_pharmacy_avg,-10.71
2020-03-25,parks_avg,-27
2020-03-25,transit_stations_avg,-38.14
2020-03-25,workplaces_avg,-24.29
2020-03-25,residential_avg,12.14
2020-03-26,retail_recreation,-34
2020-03-26,grocery_pharmacy,-17
2020-03-26,parks,-30
2020-03-26,transit_stations,-46
2020-03-26,workplaces,-34
2020-03-26,residential,15
2020-03-26,retail_recreation_avg,-28.86
2020-03-26,grocery_pharmacy_avg,-12.43
2020-03-26,parks_avg,-28.86
2020-03-26,transit_stations_avg,-41
2020-03-26,workplaces_avg,-26.71
2020-03-26,residential_avg,13
2020-03-27,retail_recreation,-36
2020-03-27,grocery_pharmacy,-17
2020-03-27,parks,-34
2020-03-27,transit_stations,-49
2020-03-27,workplaces,-33
2020-03-27,residential,16
2020-03-27,retail_recreation_avg,-31.29
2020-03-27,grocery_pharmacy_avg,-13.86
2020-03-27,parks_avg,-30.71
2020-03-27,transit_stations_avg,-43.57
2020-03-27,workplaces_avg,-28.86
2020-03-27,residential_avg,13.86
2020-03-28,retail_recreation,-42
2020-03-28,grocery_pharmacy,-20
2020-03-28,parks,-46
2020-03-28,transit_stations,-50
2020-03-28,workplaces,-23
2020-03-28,residential,15
2020-03-28,retail_recreation_avg,-34
2020-03-28,grocery_pharmacy_avg,-16
2020-03-28,parks_avg,-33
2020-03-28,transit_stations_avg,-46
2020-03-28,workplaces_avg,-30.57
2020-03-28,residential_avg,14.71
2020-03-29,retail_recreation,-47
2020-03-29,grocery_pharmacy,-27
2020-03-29,parks,-52
2020-03-29,transit_stations,-54
2020-03-29,workplaces,-15
2020-03-29,residential,15
2020-03-29,retail_recreation_avg,-36.14
2020-03-29,grocery_pharmacy_avg,-17.71
2020-03-29,parks_avg,-34.86
2020-03-29,transit_stations_avg,-47.71
2020-03-29,workplaces_avg,-31.71
2020-03-29,residential_avg,15.43
2020-03-30,retail_recreation,-36
2020-03-30,grocery_pharmacy,-20
2020-03-30,parks,-32
2020-03-30,transit_stations,-51
2020-03-30,workplaces,-34
2020-03-30,residential,16
2020-03-30,retail_recreation_avg,-37.43
2020-03-30,grocery_pharmacy_avg,-18.86
2020-03-30,parks_avg,-35.86
2020-03-30,transit_stations_avg,-49.14
2020-03-30,workplaces_avg,-32.71
2020-03-30,residential_avg,15.86
2020-03-31,retail_recreation,-35
2020-03-31,grocery_pharmacy,-16
2020-03-31,parks,-32
2020-03-31,transit_stations,-49
2020-03-31,workplaces,-35
2020-03-31,residential,15
2020-03-31,retail_recreation_avg,-38.29
2020-03-31,grocery_pharmacy_avg,-19.57
2020-03-31,parks_avg,-36.71
2020-03-31,transit_stations_avg,-50.14
2020-03-31,workplaces_avg,-33.29
2020-03-31,residential_avg,16.14
2020-04-01,retail_recreation,-31
2020-04-01,grocery_pharmacy,-10
2020-04-01,parks,-28
2020-04-01,transit_stations,-49
2020-04-01,workplaces,-35
2020-04-01,residential,15
2020-04-01,retail_recreation_avg,-37.29
2020-04-01,grocery_pharmacy_avg,-18.14
2020-04-01,parks_avg,-36.29
2020-04-01,transit_stations_avg,-49.71
2020-04-01,workplaces_avg,-29.86
2020-04-01,residential_avg,15.29
2020-04-02,retail_recreation,-33
2020-04-02,grocery_pharmacy,-13
2020-04-02,parks,-29
2020-04-02,transit_stations,-50
2020-04-02,workplaces,-35
2020-04-02,residential,16
2020-04-02,retail_recreation_avg,-37.14
2020-04-02,grocery_pharmacy_avg,-17.57
2020-04-02,parks_avg,-36.14
2020-04-02,transit_stations_avg,-50.29
2020-04-02,workplaces_avg,-30
2020-04-02,residential_avg,15.43
2020-04-03,retail_recreation,-35
2020-04-03,grocery_pharmacy,-17
2020-04-03,parks,-34
2020-04-03,transit_stations,-53
2020-04-03,workplaces,-34
2020-04-03,residential,17
2020-04-03,retail_recreation_avg,-37
2020-04-03,grocery_pharmacy_avg,-17.57
2020-04-03,parks_avg,-36.14
2020-04-03,transit_stations_avg,-50.86
2020-04-03,workplaces_avg,-30.14
2020-04-03,residential_avg,15.57
2020-04-04,retail_recreation,-40
2020-04-04,grocery_pharmacy,-20
2020-04-04,parks,-45
2020-04-04,transit_stations,-54
2020-04-04,workplaces,-25
2020-04-04,residential,15
2020-04-04,retail_recreation_avg,-36.71
2020-04-04,grocery_pharmacy_avg,-17.57
2020-04-04,parks_avg,-36
2020-04-04,transit_stations_avg,-51.43
2020-04-04,workplaces_avg,-30.43
2020-04-04,residential_avg,15.57
2020-04-05,retail_recreation,-43
2020-04-05,grocery_pharmacy,-24
