income_group,date,consumer_confidence_index
above_5,2017-02-01,116.05602381429354
above_5,2017-03-01,122.62755015688597
above_5,2017-04-01,126.7590273846718
above_5,2017-05-01,124.81796833351444
above_5,2017-06-01,123.80156505275163
above_5,2017-07-01,120.48959536824567
above_5,2017-08-01,124.21579007886444
above_5,2017-09-01,123.87237277699043
above_5,2017-10-01,120.07746012511899
above_5,2017-11-01,118.1482250383101
above_5,2017-12-01,124.69505674104765
above_5,2018-01-01,124.76935568328322
above_5,2018-02-01,118.14614883638153
above_5,2018-03-01,121.3817138680729
above_5,2018-04-01,125.35864452224222
above_5,2018-05-01,124.85669677540392
above_5,2018-06-01,128.36115946897874
above_5,2018-07-01,122.1986134377022
above_5,2018-08-01,118.81788211641549
above_5,2018-09-01,118.99265597823727
above_5,2018-10-01,117.09971316454491
above_5,2018-11-01,120.83808473970414
above_5,2018-12-01,127.42045394012356
above_5,2019-01-01,123.62240692244835
above_5,2019-02-01,126.47505073765576
above_5,2019-03-01,124.1017801618158
above_5,2019-04-01,131.06745953130516
above_5,2019-05-01,131.0641916648878
above_5,2019-06-01,126.51036451432681
above_5,2019-07-01,124.88423944008476
above_5,2019-08-01,121.76773891802965
above_5,2019-09-01,122.4586454572077
above_5,2019-10-01,117.606580214363
above_5,2019-11-01,123.50621148728966
above_5,2019-12-01,131.07014351618122
above_5,2020-01-01,120.46754965866279
above_5,2020-02-01,119.48907315462985
above_5,2020-03-01,113.26661428122246
above_5,2020-04-01,83.0040316054417
above_5,2020-05-01,71.61250098628653
above_5,2020-06-01,84.36366303902045
above_5,2020-07-01,89.72796769458095
above_5,2020-08-01,83.66911993937087
above_5,2020-09-01,80.53490837486497
above_5,2020-10-01,81.95601246781882
above_5,2020-11-01,99.17315545407249
above_5,2020-12-01,102.91318912982447
above_5,2021-01-01,94.77022590579087
above_5,2021-02-01,89.24093474445604
above_5,2021-03-01,100.81584793376103
above_5,2021-04-01,106.21767431044229
above_5,2021-05-01,109.30291331291681
